region;filial;basic_station;range;standard;work_type;sign;contractor;position_approved_plan;position_approved_fact;access_to_equipment_plan;access_to_equipment_fact;data_for_bs_plan;data_for_bs_fact;equipment_purchase_application_plan;equipment_purchase_application_fact;equipment_order_plan;equipment_order_fact;rent_contract_plan;rent_contract_fact;proj_work_begin_plan;proj_work_begin_fact;layout_agreed_plan;layout_agreed_fact;build_work_begin_plan;build_work_begin_fact;build_work_end_plan;build_work_end_fact;equipment_supplied_plan;equipment_supplied_fact;contractor_got_equip_plan;contractor_got_equip_fact;eqiup_for_bs_installed_fact;integration_to_net_forecast;integration_to_net_plan;integration_to_net_fact
R1;А1;БС2102;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;01.06.2022;02.08.2022;11.06.2022;21.08.2022;08.08.2022;20.09.2022;;25.11.2022;04.08.2022;05.12.2022;;28.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1686;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;30.05.2022;02.08.2022;11.06.2022;21.08.2022;19.09.2022;20.09.2022;;25.11.2022;29.07.2022;05.12.2022;;27.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС2103;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;01.06.2022;02.08.2022;16.09.2022;21.08.2022;16.09.2022;20.09.2022;;25.11.2022;30.09.2022;05.12.2022;;16.09.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС2104;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;05.06.2022;02.08.2022;11.06.2022;21.08.2022;08.08.2022;20.09.2022;;25.11.2022;12.08.2022;05.12.2022;;10.08.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС2112;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;22.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;13.06.2022;02.08.2022;25.08.2022;21.08.2022;13.09.2022;20.09.2022;;25.11.2022;30.09.2022;05.12.2022;;23.09.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС2106;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;05.06.2022;02.08.2022;08.06.2022;21.08.2022;16.09.2022;20.09.2022;;25.11.2022;29.07.2022;05.12.2022;;27.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС2111;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;25.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;13.06.2022;02.08.2022;04.07.2022;21.08.2022;04.07.2022;20.09.2022;;25.11.2022;14.07.2022;05.12.2022;;04.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС2113;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;04.06.2022;02.08.2022;;21.08.2022;15.09.2022;20.09.2022;;25.11.2022;29.07.2022;05.12.2022;;25.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС2099;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;29.04.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;05.07.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;14.07.2022;05.12.2022;;05.07.2022;27.10.2022;15.12.2022;06.10.2022
R1;А1;БС2114;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;04.06.2022;02.08.2022;11.06.2022;21.08.2022;16.09.2022;20.09.2022;;25.11.2022;29.07.2022;05.12.2022;;27.07.2022;27.10.2022;15.12.2022;17.10.2022
