region;filial;basic_station;range;standard;work_type;sign;contractor;position_approved_plan;position_approved_fact;access_to_equipment_plan;access_to_equipment_fact;data_for_bs_plan;data_for_bs_fact;equipment_purchase_application_plan;equipment_purchase_application_fact;equipment_order_plan;equipment_order_fact;rent_contract_plan;rent_contract_fact;proj_work_begin_plan;proj_work_begin_fact;layout_agreed_plan;layout_agreed_fact;build_work_begin_plan;build_work_begin_fact;build_work_end_plan;build_work_end_fact;equipment_supplied_plan;equipment_supplied_fact;contractor_got_equip_plan;contractor_got_equip_fact;eqiup_for_bs_installed_fact;integration_to_net_forecast;integration_to_net_plan;integration_to_net_fact
R1;А1;БС2109;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;25.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;13.06.2022;02.08.2022;;21.08.2022;15.09.2022;20.09.2022;;25.11.2022;26.08.2022;05.12.2022;;12.08.2022;27.10.2022;15.12.2022;
R1;А1;БС1691;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;06.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;23.06.2022;02.08.2022;24.08.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;26.08.2022;05.12.2022;;24.08.2022;27.10.2022;15.12.2022;06.10.2022
R1;А1;БС1692;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;06.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;28.06.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;30.06.2022;05.12.2022;;28.06.2022;27.10.2022;15.12.2022;
R1;А1;БС1693;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;06.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;24.06.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;24.06.2022;05.12.2022;;24.06.2022;27.10.2022;15.12.2022;
R1;А1;БС1694;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;12.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;21.06.2022;02.08.2022;21.06.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;23.06.2022;05.12.2022;;21.06.2022;27.10.2022;15.12.2022;
R1;А1;БС1696;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;29.04.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;31.07.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;04.08.2022;05.12.2022;;29.07.2022;27.10.2022;15.12.2022;06.10.2022
R1;А1;БС1698;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;28.04.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;15.07.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;21.07.2022;05.12.2022;;15.07.2022;27.10.2022;15.12.2022;
R1;А1;БС1699;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;06.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;18.07.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;21.07.2022;05.12.2022;;18.07.2022;27.10.2022;15.12.2022;
R1;А1;БС1700;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;06.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;20.07.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;21.07.2022;05.12.2022;;20.07.2022;27.10.2022;15.12.2022;
R1;А1;БС1701;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;06.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;22.08.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;26.08.2022;05.12.2022;;22.08.2022;27.10.2022;15.12.2022;
R1;А1;БС1702;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;11.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;30.06.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;14.07.2022;05.12.2022;;30.06.2022;27.10.2022;15.12.2022;
R1;А1;БС1704;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;12.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;31.05.2022;02.08.2022;22.06.2022;21.08.2022;15.09.2022;20.09.2022;;25.11.2022;23.06.2022;05.12.2022;;22.06.2022;27.10.2022;15.12.2022;
R1;А1;БС1705;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;06.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;26.05.2022;05.12.2022;;;27.10.2022;15.12.2022;
R1;А1;БС1706;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;28.04.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;12.07.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;14.07.2022;05.12.2022;;12.07.2022;27.10.2022;15.12.2022;
R1;А1;БС1708;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;06.06.2022;02.08.2022;01.07.2022;21.08.2022;15.09.2022;20.09.2022;;25.11.2022;16.09.2022;05.12.2022;;09.09.2022;27.10.2022;15.12.2022;06.10.2022
R1;А1;БС1709;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;11.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;31.08.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;02.09.2022;05.12.2022;;30.08.2022;27.10.2022;15.12.2022;06.10.2022
R1;А1;БС1710;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;12.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;01.06.2022;02.08.2022;21.07.2022;21.08.2022;13.09.2022;20.09.2022;;25.11.2022;29.07.2022;05.12.2022;;21.07.2022;27.10.2022;15.12.2022;
R1;А1;БС1711;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;29.04.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;20.05.2022;02.08.2022;17.08.2022;21.08.2022;08.09.2022;20.09.2022;;25.11.2022;26.08.2022;05.12.2022;;25.08.2022;27.10.2022;15.12.2022;06.10.2022
R1;А1;БС1712;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;29.04.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;22.05.2022;02.08.2022;29.06.2022;21.08.2022;04.07.2022;20.09.2022;;25.11.2022;30.06.2022;05.12.2022;;29.06.2022;27.10.2022;15.12.2022;06.10.2022
R1;А1;БС1713;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;12.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;19.07.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;21.07.2022;05.12.2022;;19.07.2022;27.10.2022;15.12.2022;
R1;А1;БС1714;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;28.04.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;21.07.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;29.07.2022;05.12.2022;;21.07.2022;27.10.2022;15.12.2022;
R1;А1;БС1715;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;29.04.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;13.07.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;14.07.2022;05.12.2022;;13.07.2022;27.10.2022;15.12.2022;
R1;А1;БС1718;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;28.04.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;31.07.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;04.08.2022;05.12.2022;;29.07.2022;27.10.2022;15.12.2022;06.10.2022
R1;А1;БС1719;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;28.04.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;11.07.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;14.07.2022;05.12.2022;;11.07.2022;27.10.2022;15.12.2022;
R1;А1;БС1721;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;11.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;23.06.2022;02.08.2022;31.08.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;02.09.2022;05.12.2022;;30.08.2022;27.10.2022;15.12.2022;05.10.2022
R1;А1;БС1723;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;19.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;23.06.2022;02.08.2022;;21.08.2022;15.07.2022;20.09.2022;;25.11.2022;26.05.2022;05.12.2022;;06.10.2022;27.10.2022;15.12.2022;06.10.2022
R1;А1;БС1724;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;03.05.2022;17.07.2022;04.05.2022;16.07.2022;06.05.2022;30.07.2022;;13.08.2022;;06.08.2022;05.05.2022;17.07.2022;21.06.2022;02.08.2022;21.06.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;23.06.2022;05.12.2022;;21.06.2022;27.10.2022;15.12.2022;
